bibcode,cornerDOI,name,date
2016arXiv160705272W,10.5281/zenodo.45906,corner,07/2016
2017PhRvD..95j4023B,10.21105/joss.00024,corner,05/2017
2016arXiv161105052L,10.21105/joss.00024,corner,11/2016
2016AJ....151...46A,10.5281/zenodo.11020,triangle,02/2016
2017MNRAS.467..164A,10.5281/zenodo.11020,triangle,05/2017
2017JGRA..122.6088C,10.5281/zenodo.45906,corner,06/2017
2017ApJ...838...11S,10.21105/joss.00024,corner,03/2017
2015ApJ...812..123G,10.5281/zenodo.11020,triangle,10/2015
2017ApJ...838....8L,10.21105/joss.00024,corner,03/2017
2017arXiv170906565S,10.5281/zenodo.45906,corner,09/2017
2016JGRA..12111249G,10.5281/zenodo.11020,triangle,11/2016
2017AJ....154...64M,10.21105/joss.00024,corner,08/2017
2015arXiv151103428F,10.5281/zenodo.11020,triangle,11/2015
2017ApJ...842..132B,10.21105/joss.00024,corner,06/2017
2016MNRAS.455.1919V,10.5281/zenodo.11020,triangle,01/2016
2016arXiv160200303H,10.5281/zenodo.11020,triangle,01/2016
2016ApJ...817...73H,10.5281/zenodo.11020,triangle,01/2016
2016ApJ...816...21D,10.5281/zenodo.11020,triangle,01/2016
2017arXiv170903532P,10.21105/joss.00024,corner,09/2017
2015arXiv150402936G,10.5281/zenodo.11020,triangle,04/2015
2016arXiv161002026S,10.5281/zenodo.45906,corner,10/2016
2017A&A...605A..59R,10.21105/joss.00024,corner,09/2017
2018MNRAS.473..210S,10.21105/joss.00024,corner,01/2018
2017AJ....154..220F,10.21105/joss.00024,corner,12/2017
2017AJ....154...91L,10.5281/zenodo.53155,corner,09/2017
2017arXiv170100533N,10.21105/joss.00024,corner,12/2016
10.21105/joss.00024,10.5281/zenodo.53155,corner,06/2016
2017PhRvD..95h3523N,10.21105/joss.00024,corner,04/2017
2016arXiv161001991V,10.21105/joss.00024,corner,10/2016
2017MNRAS.472..675A,10.21105/joss.00024,corner,11/2017
2016ApJ...830..156M,10.21105/joss.00024,corner,10/2016
2015arXiv150308833L,10.5281/zenodo.11020,triangle,03/2015
2015arXiv151208659A,10.5281/zenodo.11020,triangle,12/2015
2015arXiv150800416P,10.5281/zenodo.11020,triangle,08/2015
2017ApJ...843..150F,10.5281/zenodo.11020,triangle,07/2017
2017arXiv170505867M,10.21105/joss.00024,corner,05/2017
2016ApJ...825...35P,10.5281/zenodo.11020,triangle,07/2016
2017MNRAS.469.3518M,10.5281/zenodo.11020,triangle,08/2017
2017MNRAS.466.3272A,10.5281/zenodo.45906,corner,04/2017
2015arXiv151008461M,10.5281/zenodo.11020,triangle,10/2015
2016arXiv160305287V,10.5281/zenodo.11020,triangle,03/2016
2017AJ....153..243Z,10.21105/joss.00024,corner,06/2017
2017arXiv170601460K,10.5281/zenodo.53155,corner,06/2017
2016PASP..128f4401T,10.5281/zenodo.11020,triangle,06/2016
2015MNRAS.453.4399P,10.5281/zenodo.11020,triangle,11/2015
2016ApJ...817..169L,10.5281/zenodo.11020,triangle,02/2016
2017AJ....153..233F,10.21105/joss.00024,corner,05/2017
2017ApJ...849...55S,10.21105/joss.00024,corner,11/2017
2017arXiv170605459A,10.21105/joss.00024,corner,06/2017
2017MNRAS.471...12B,10.21105/joss.00024,corner,10/2017
2014arXiv1409.7215V,10.5281/zenodo.11020,triangle,09/2014
2017PhRvD..96d2001I,10.21105/joss.00024,corner,08/2017
2017AJ....153..253M,10.5281/zenodo.53155,corner,06/2017
2016MNRAS.460.1119S,10.5281/zenodo.11020,triangle,07/2016
2014arXiv1404.6284C,10.5281/zenodo.11020,triangle,04/2014
2017JPhD...50x5301C,10.21105/joss.00024,corner,06/2017
2016A&A...588A..53T,10.5281/zenodo.11020,triangle,04/2016
2017A&A...600A..70A,10.5281/zenodo.45906,corner,04/2017
2016arXiv160203180C,10.5281/zenodo.11020,triangle,02/2016
2017AJ....153..242N,10.21105/joss.00024,corner,06/2017
2017ApJ...834...85N,10.21105/joss.00024,corner,01/2017
2017arXiv170301301Z,10.21105/joss.00024,corner,03/2017
2017MNRAS.472.2975M,10.21105/joss.00024,corner,12/2017
2016ApJ...820...32B,10.5281/zenodo.11020,triangle,03/2016
2017ApJ...843...51A,10.21105/joss.00024,corner,07/2017
2016MNRAS.460.2933M,10.5281/zenodo.11020,triangle,08/2016
2016ApJ...818..156C,10.5281/zenodo.11020,triangle,02/2016
2017ApJ...846...97G,10.5281/zenodo.53155,corner,09/2017
2015ApJ...812...58C,10.5281/zenodo.11020,triangle,10/2015
2017arXiv170510322B,10.21105/joss.00024,corner,05/2017
2017arXiv170510712O,10.21105/joss.00024,corner,05/2017
2016ApJS..223....8C,10.5281/zenodo.11020,triangle,03/2016
2016ApJ...824..150G,10.5281/zenodo.11020,triangle,06/2016
2017ApJ...842....8M,10.21105/joss.00024,corner,06/2017
2017arXiv170701559L,2017ascl.soft02002F,corner,07/2017
2017arXiv171002099E,10.21105/joss.00024,corner,10/2017
2013arXiv1309.1210A,10.5281/zenodo.10598,triangle,09/2013
